,Coverage Type,State,Rated Flood Zones,Policies in Force,Premium + FPF,Total Annual Payment,Building Coverage,Contents Coverage,Total Coverage
40,Building & Contents,FLORIDA,All A Zones,662420,720553494,878117419,155798897000,34747750000,190546647000
41,Building & Contents,FLORIDA,All V Zones,57574,38944170,47459961,13645208000,896571000,14541779000
42,Building & Contents,FLORIDA,D Zone,31,32778,40541,6931000,2726000,9657000
43,Building & Contents,FLORIDA,Emergency Program,2,1953,2338,70000,20000,90000
44,Building & Contents,FLORIDA,Unknown or Invalid,2452,1242543,1554346,593195000,168921000,762116000
45,Building & Contents,FLORIDA,X Zone,426522,283403043,353084784,101315803000,34353325000,135669128000
278,Building Only,FLORIDA,All A Zones,487936,486628239,586192440,102590811000,0,102590811000
279,Building Only,FLORIDA,All V Zones,26585,22491981,27010834,6069381000,0,6069381000
280,Building Only,FLORIDA,D Zone,7,6727,8504,1567000,0,1567000
281,Building Only,FLORIDA,Unknown or Invalid,730,135197,170365,160488800,0,160488800
282,Building Only,FLORIDA,X Zone,107481,50375093,64040325,23841744000,0,23841744000
499,Contents Only,FLORIDA,All A Zones,16354,12740271,17255088,0,1790462000,1790462000
500,Contents Only,FLORIDA,All V Zones,1493,882007,1304331,0,107063000,107063000
501,Contents Only,FLORIDA,D Zone,3,1091,1561,0,181000,181000
502,Contents Only,FLORIDA,Unknown or Invalid,41,19979,29203,0,6449000,6449000
503,Contents Only,FLORIDA,X Zone,9772,4956678,7182926,0,1545086000,1545086000
